ID,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
33.0,魚民 氷見店,0766-72-1688, ,富山県,氷見市加納,436-1,1F,https://r.gnavi.co.jp/j6ecpkyt0000/,True
34.0,天神,050-5485-1736, ,愛媛県,松山市二番町,2-6-8,,https://r.gnavi.co.jp/gkfr6pwr0000/,True
35.0,食の蔵 荒為,050-5488-9306, ,茨城県,筑西市甲,929,,https://r.gnavi.co.jp/e533htms0000/,True
36.0,Trattoria Blair Garden（ブレアガーデン）,050-5484-2164, ,宮城県,仙台市泉区桂,1-1-1,,https://r.gnavi.co.jp/t042403/,True
37.0,炭火焼鳥 鶏蔵,050-5489-4724, ,広島県,福山市船町,2-19,,https://r.gnavi.co.jp/bpnhnngr0000/,True
38.0,博多水たき さ和鳥 八丁堀,050-5488-7641, ,東京都,中央区八丁堀,3-24-1,,https://r.gnavi.co.jp/b165201/,True
39.0,レストラン　ら・むぎ,050-5492-9716, ,奈良県,奈良市押熊町,2202-6,,https://r.gnavi.co.jp/k721800/,True
40.0,隠れ家個室 矢那屋 ～YANAYA～ 木更津駅前,050-5487-6313, ,千葉県,木更津市東中央,2-10-19,1F,https://r.gnavi.co.jp/esr4f1r80000/,True
41.0,イタリア料理 ハイウェーブカフェ,050-5489-2110, ,福井県,福井市福新町,2004-2,,https://r.gnavi.co.jp/jfjew5ka0000/,True
42.0,炙屋 しゅん,050-5487-5033, ,茨城県,守谷市百合ヶ丘,3-2664-24,,https://r.gnavi.co.jp/8r6eztn60000/,True
43.0,全席個室 ウメ子の家仙台駅前店,050-5489-2397, ,宮城県,仙台市青葉区中央,1-7-4,宮城商事ビル1F,https://r.gnavi.co.jp/52t5gf650000/,True
44.0,うなぎ 川魚 和食 鯉之助,050-5485-3252, ,北海道,函館市本町,32-11,,https://r.gnavi.co.jp/ee28wz0x0000/,True
45.0,高松屋 暁,050-5488-6180, ,愛媛県,八幡浜市旧港,432,,https://r.gnavi.co.jp/5uak83uf0000/,True
46.0,豪華個室×地中海創作ダイニング エル バルコ,050-5486-2907, ,千葉県,船橋市本町,4-16-36,サラトガビル1F,https://r.gnavi.co.jp/g247400/,True
47.0,一楽,050-5484-5065, ,神奈川県,横浜市中区山下町,150,,https://r.gnavi.co.jp/g398800/?sc_type=area&sc_area=jp&sc_dsp=rs_183821,True
48.0,ロティサリーチキン専門店 Rassi’s Bar（ラッシーズ バー）新橋,050-5484-6968, ,東京都,港区新橋,4-10-8,,https://r.gnavi.co.jp/fdy4t34w0000/?sc_type=area&sc_area=jp&sc_dsp=rs_186673,True
49.0,日本料理 花はん,050-5485-0998, ,宮城県,仙台市青葉区国分町,2-14-18,定禅寺パークビルB1,https://r.gnavi.co.jp/t023100/?sc_type=area&sc_area=jp&sc_dsp=rs_189775,True
50.0,TSURUGATA BASE 1225,050-5494-6179, ,岡山県,倉敷市鶴形,1-2-25,B1,https://r.gnavi.co.jp/3m0x0n120000/,True
